data_arc,full_name,
1362,482766 (2013 GF69),482766
1579,482796 (2013 QJ10),482796
5874,482798 (2013 QK48),482798
6521,483422 (2000 CE59),483422
6212,483423 (2000 DO1),483423
5838,483432 (2001 DF47),483432
5143,483508 (2003 CR1),483508
5122,483560 (2004 BV1),483560
4035,483989 (2006 CY10),483989
3490,484402 (2007 XH16),484402
3308,484506 (2008 ER7),484506
8503,484517 (2008 EC69),484517
2741,484976 (2009 UN3),484976
2134,485652 (2011 WO41),485652
861,487577 (2014 YQ15),487577
8075,488453 (1994 XD),488453
6676,488490 (2000 AF205),488490
5836,488515 (2001 FE90),488515
4600,488789 (2004 XK50),488789
4101,489486 (2007 GS3),489486
4666,490354 (2009 FF19),490354
4417,490581 (2009 WZ104),490581
6049,494658 (2000 UG11),494658
4772,494690 (2004 JQ1),494690
4617,494697 (2004 SW55),494697
5831,494710 (2005 MO13),494710
5482,494999 (2010 JU39),494999
2923,495187 (2012 VO76),495187
3662,496005 (2007 XJ16),496005
3431,496013 (2008 EL6),496013
10387,496816 (1989 UP),496816
10280,496817 (1989 VB),496817
6437,496860 (1999 XL136),496860
7025,496901 (2001 HB),496901
5175,497117 (2004 FU4),497117
4577,497245 (2005 FH),497245
2560,499582 (2010 TH19),499582
3947,500080 (2011 WV134),500080
7121,503861 (1998 WZ1),503861
7689,503941 (2003 UV11),503941
4589,504034 (2005 UJ159),504034
6329,504256 (2006 VD13),504256
3213,504680 (2009 EO2),504680
2829,504800 (2010 CO1),504800
5745,505178 (2012 TV78),505178
1375,505657 (2014 SR339),505657
779,506074 (2015 UM67),506074
6179,506491 (2003 UW29),506491
4088,506732 (2006 VW2),506732
3931,506859 (2007 VW137),506859
1505,507716 (2013 UP8),507716
6811,508774 (1999 JE1),508774
5149,508908 (2003 YX1),508908
4813,508967 (2004 VC17),508967
4211,509191 (2006 OC5),509191
4037,509352 (2007 AG),509352
4084,509456 (2007 LF),509456
5865,509821 (2008 WQ63),509821
3130,509935 (2009 QL8),509935
2839,510055 (2010 FH81),510055
5902,510529 (2012 EY11),510529
2998,511008 (2013 PX6),511008
4452,511684 (2015 BN509),511684
1132,512234 (2015 VO66),512234
7128,513126 (1998 QP),513126
5101,513171 (2004 MD6),513171
3511,513489 (2009 EV),513489
994,514150 (2015 KJ57),514150
8787,514568 (1994 RC),514568
5474,514596 (2003 FG),514596
1061,515767 (2015 JA2),515767
774,516154 (2016 CL32),516154
790,516155 (2016 DP),516155
4797,516454 (2005 FN4),516454
7704,517103 (2013 EM20),517103
23772,517681 (2015 DE198),517681
3729,518640 (2008 KZ5),518640
3509,518678 (2008 UZ94),518678
3020,518810 (2010 CF19),518810
6587,518847 (2010 DM),518847
770,522684 (2016 JP),522684
4,       (1979 XB),600011
7852,       (1983 LC),600017
8788,       (1991 GO),600033
8278,       (1994 CJ1),600098
6919,       (1994 EK),600102
26,       (1994 NE),600114
8005,       (1995 CR),600174
5,       (1996 JA1),600480
6263,       (1997 GL3),600614
22,       (1997 GD32),600618
5156,       (1997 QK1),600635
15,       (1997 VG6),600701
5883,       (1997 WQ23),600706
30,       (1998 BY7),600714
5294,       (1998 FF14),600734
18,       (1998 HT31),600748
971,       (1998 HH49),600749
6734,       (1998 QK28),600797
22,       (1998 QA62),600804
6615,       (1998 SH2),600827
5855,       (1998 SU4),600830
125,       (1998 SY14),600838
6978,       (1998 SZ27),600846
6760,       (1998 SL36),600852
14,       (1998 US18),600908
4197,       (1998 WB2),600928
10,       (1998 XD12),600963
2,       (1999 FR19),601070
239,       (1999 GL4),601103
20,       (1999 JZ10),601121
6,       (1999 LX1),601142
4760,       (1999 RM45),601186
5131,       (1999 SG10),601222
11,       (1999 TO13),601244
24,       (1999 TT16),601246
4869,       (1999 UR),601390
6064,       (1999 VR6),601426
88,       (1999 XS35),601523
4045,       (1999 XK136),601528
71,       (1999 YD),601540
5819,       (2000 AA6),601546
8727,       (2000 BO28),601586
5375,       (2000 CM33),601600
39,       (2000 CO33),601602
4419,       (2000 CP101),601619
135,       (2000 DN1),601669
6224,       (2000 EM26),601696
5561,       (2000 EU70),601700
5,       (2000 JF5),601802
6001,       (2000 KA),601815
13,       (2000 LF3),601835
31,       (2000 PY5),601874
5092,       (2000 PP9),601881
3467,       (2000 QS7),601905
5240,       (2000 QV7),601907
69,       (2000 SL10),602019
3937,       (2000 TU28),602172
52,       (2000 UQ30),602205
5113,       (2000 WC1),602227
4,       (2000 WH10),602233
4018,       (2000 YF29),602340
6347,       (2000 YG29),602341
2,       (2001 CA21),602380
6276,       (2001 EC),602425
6245,       (2001 FA58),602441
2912,       (2001 FC58),602443
11,       (2001 FB90),602449
3850,       (2001 GR2),603284
4046,       (2001 GT2),603286
6306,       (2001 HA4),603288
9,       (2001 HL31),603307
3469,       (2001 JV1),603311
213,       (2001 KF54),603318
6055,       (2001 LD),603340
4700,       (2001 QC34),603521
5107,       (2001 QJ96),603550
4518,       (2001 SQ3),603866
918,       (2001 SY269),604102
4087,       (2001 SZ269),604103
3805,       (2001 SG286),604119
4194,       (2001 TA2),604275
3602,       (2001 TC45),604300
7,       (2001 VB),604946
5886,       (2001 VC2),604948
6012,       (2001 VJ5),604959
24,       (2001 WH1),605050
5489,       (2001 WF49),605105
5129,       (2001 XQ),605164
388,       (2001 XX4),605174
5899,       (2001 XP31),605182
1455,       (2001 YP3),605312
880,       (2001 YV3),605318
11,       (2001 YB5),605323
1283,       (2002 AV),605386
4730,       (2002 AY1),605387
35,       (2002 AZ1),605388
5,       (2002 AS4),605396
1805,       (2002 AT4),605397
3132,       (2002 AC9),605402
1829,       (2002 BM26),605518
33,       (2002 CY9),605528
2549,       (2002 CD14),605536
5258,       (2002 CX58),605565
34,       (2002 DO3),605704
3265,       (2002 EY2),605732
13,       (2002 EU11),605750
4421,       (2002 EV11),605751
5099,       (2002 FC),605844
2949,       (2002 FQ5),605850
7,       (2002 GM5),605903
3920,       (2002 GJ8),605915
5134,       (2002 GZ8),605918
26,       (2002 HP11),606100
5467,       (2002 JX8),606119
69,       (2002 JZ8),606120
4014,       (2002 JE9),606123
3670,       (2002 JQ9),606125
